Sno,Request_id,Notification_Id,MGS,DBS,LCV_Num,Transaction_Id,Route_Duration,Route_distance,Status,Operator_id,Allocation_date,Modifier_operator_id,Modified_date
29,48rameshwar240713061412,56,cgs_harua,rameshwar,UP80HT4944,UP80HT4944cgs_harua240713045656,76,49,Reached,Scheduling Engine,7/13/2024 12:44,NULL,8/21/2024 8:44
30,49suresh240713061506,57,cgs_harua,suresh,UP65LT8638,UP65LT8638cgs_harua240713044255,78,42,Reached,Scheduling Engine,7/13/2024 12:54,NULL,8/21/2024 8:44
31,51reliance_bp240713074555,73,cgs_harua,reliance_bp,GJ18BT9472,GJ18BT9472cgs_harua240713060229,60,39,Reached,Scheduling Engine,7/13/2024 14:16,NULL,8/21/2024 8:44
32,52vishnu240713074633,74,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240713060109,28,20,Reached,Scheduling Engine,7/13/2024 14:16,NULL,8/21/2024 8:44
33,53srm_energy240713074714,78,upsidc,lala_auto,UP65KT3613,UP65KT3613upsidc240713062515,50,37,Reached,Scheduling Engine,7/13/2024 14:17,NULL,8/21/2024 8:44
34,54atulya240713081957,86,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240713074856,45,27,Reached,Scheduling Engine,7/13/2024 14:50,NULL,8/21/2024 8:44
35,55mirzamurad240713090020,90,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240713073100,38,27,Reached,Scheduling Engine,7/13/2024 15:30,NULL,8/21/2024 8:44
36,56cholapur240713090128,97,cgs_harua,cholapur,UP65LT8640,UP65LT8640cgs_harua240713085027,22,14,Reached,Scheduling Engine,7/13/2024 15:31,NULL,8/21/2024 8:44
37,57sanchetna240713092445,98,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240713074528,32,20,Reached,Scheduling Engine,7/13/2024 15:54,NULL,8/21/2024 8:44
38,58reliance_bp240713100518,102,cgs_harua,reliance_bp_harua,UP80HT5298,UP80HT5298cgs_harua240713085443,17,9,Reached,Scheduling Engine,7/13/2024 16:35,NULL,8/21/2024 8:44
39,59vishnu240713100622,103,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240713084104,28,20,Reached,Scheduling Engine,7/13/2024 16:36,NULL,8/21/2024 8:44
40,60saurav240713110801,104,cgs_harua,saurav,UP65KT8526,UP65KT8526cgs_harua240713052258,26,15,Reached,Scheduling Engine,7/13/2024 17:38,NULL,8/21/2024 8:44
41,61saurav240713110958,118,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240713104226,26,15,Reached,Scheduling Engine,7/13/2024 17:40,NULL,8/21/2024 8:44
42,62rameshwar240713111043,119,cgs_harua,rameshwar,UP80HT5397,UP80HT5397cgs_harua240713095644,76,49,Reached,Scheduling Engine,7/13/2024 17:40,NULL,8/21/2024 8:44
43,63vishnu240714120812,127,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240713114016,28,20,Reached,Scheduling Engine,7/13/2024 18:38,NULL,8/21/2024 8:44
44,65vishnu240714121019,128,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240713110032,28,20,Reached,Scheduling Engine,7/13/2024 18:40,NULL,8/21/2024 8:44
45,66sanchetna240714045933,141,upsidc,sanchetna,UP65KT8525,UP65KT8525upsidc240714122355,32,20,Reached,Scheduling Engine,7/13/2024 23:29,NULL,8/21/2024 8:44
46,67lala_auto240714050200,142,upsidc,lala_auto,GJ18BT9140,GJ18BT9140upsidc240713114432,50,37,Reached,Scheduling Engine,7/13/2024 23:32,NULL,8/21/2024 8:44
47,68suresh240714083503,143,cgs_harua,suresh,GJ18BT9112,GJ18BT9112cgs_harua240714121233,78,42,Reached,Scheduling Engine,7/14/2024 3:05,NULL,8/21/2024 8:44
48,69vishnu240714083652,146,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240714061140,28,20,Reached,Scheduling Engine,7/14/2024 3:06,NULL,8/21/2024 8:44
49,70atulya240714083739,154,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240714082359,45,27,Reached,Scheduling Engine,7/14/2024 3:08,NULL,8/21/2024 8:44
50,71vishnu240714094234,171,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240714082513,28,20,Reached,Scheduling Engine,7/14/2024 4:12,NULL,8/21/2024 8:44
51,72rameshwar240714094307,172,cgs_harua,rameshwar,UP80HT4944,UP80HT4944cgs_harua240714085506,76,49,Reached,Scheduling Engine,7/14/2024 4:13,NULL,8/21/2024 8:44
52,73sanchetna240714094339,175,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240714082724,32,20,Reached,Scheduling Engine,7/14/2024 4:13,NULL,8/21/2024 8:44
53,75vishnu240714120859,184,cgs_harua,vishnu,UP80HT5298,UP80HT5298cgs_harua240714101406,28,20,Reached,Scheduling Engine,7/14/2024 6:39,NULL,8/21/2024 8:44
54,76reliance_bp240714121506,188,cgs_harua,reliance_bp,UP80HT5144,UP80HT5144cgs_harua240714093044,60,39,Reached,Scheduling Engine,7/14/2024 6:45,NULL,8/21/2024 8:44
55,77vishnu240714121701,197,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240714105530,28,20,Reached,Scheduling Engine,7/14/2024 6:47,NULL,8/21/2024 8:44
56,78cholapur240714121731,198,cgs_harua,cholapur,UP80HT5138,UP80HT5138cgs_harua240714105449,22,14,Reached,Scheduling Engine,7/14/2024 6:47,NULL,8/21/2024 8:44
57,79suresh240714011638,209,cgs_harua,suresh,UP65LT8638,UP65LT8638cgs_harua240714115541,78,42,Reached,Scheduling Engine,7/14/2024 7:46,NULL,8/21/2024 8:44
58,80saurav240714011711,212,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240714120633,26,15,Reached,Scheduling Engine,7/14/2024 7:47,NULL,8/21/2024 8:44
59,81sanchetna240714021453,215,upsidc,sanchetna,UP65KT8525,UP65KT8525upsidc240714124741,32,20,Reached,Scheduling Engine,7/14/2024 8:45,NULL,8/21/2024 8:44
60,82mirzamurad240714031707,218,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240714125825,38,27,Reached,Scheduling Engine,7/14/2024 9:47,NULL,8/21/2024 8:44
61,83srm_energy240714032031,227,upsidc,srm_energy,UP80HT4943,UP80HT4943upsidc240714015657,67,48,Reached,Scheduling Engine,7/14/2024 9:50,NULL,8/21/2024 8:44
62,85mansha240714062130,267,cgs_harua,suresh,UP65LT8638,UP65LT8638cgs_harua240715055555,78,42,Reached,Scheduling Engine,7/15/2024 1:59,NULL,8/21/2024 8:44
63,87sanchetna240715081353,270,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240715053941,32,20,Reached,Scheduling Engine,7/15/2024 2:43,NULL,8/21/2024 8:44
64,88vishnu240715084338,272,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240715071602,28,20,Reached,Scheduling Engine,7/15/2024 3:13,NULL,8/21/2024 8:44
65,89srm_energy240715094304,283,upsidc,srm_energy,UP80HT4943,UP80HT4943upsidc240715084748,67,48,Reached,Scheduling Engine,7/15/2024 4:13,NULL,8/21/2024 8:44
66,91cholapur240715101042,285,cgs_harua,cholapur,UP65LT8640,UP65LT8640cgs_harua240715083649,22,14,Reached,Scheduling Engine,7/15/2024 4:40,NULL,8/21/2024 8:44
67,92vishnu240715101116,288,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240715081558,28,20,Reached,Scheduling Engine,7/15/2024 4:41,NULL,8/21/2024 8:44
68,93vishnu240715105124,292,cgs_harua,rameshwar,UP80HT4944,UP80HT4944cgs_harua240715094651,76,49,Reached,Scheduling Engine,7/15/2024 5:24,NULL,8/21/2024 8:44
69,94sanchetna240715105405,291,upsidc,sanchetna,UP65KT8525,UP65KT8525upsidc240715094325,32,20,Reached,Scheduling Engine,7/15/2024 5:24,NULL,8/21/2024 8:44
70,95suresh240715110521,300,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240715104910,28,20,Reached,Scheduling Engine,7/15/2024 6:23,NULL,8/21/2024 8:44
71,96vishnu240715115259,298,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240715110142,28,20,Reached,Scheduling Engine,7/15/2024 6:23,NULL,8/21/2024 8:44
72,97saurav240715124854,313,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240715115542,26,15,Reached,Scheduling Engine,7/15/2024 7:20,NULL,8/21/2024 8:44
73,98atulya240715015354,319,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240715123222,45,27,Reached,Scheduling Engine,7/15/2024 8:24,NULL,8/21/2024 8:44
74,99cholapur240715015606,322,cgs_harua,cholapur,UP80HT5138,UP80HT5138cgs_harua240715123315,22,14,Reached,Scheduling Engine,7/15/2024 8:26,NULL,8/21/2024 8:44
75,100vishnu240715030943,333,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240715013914,28,20,Reached,Scheduling Engine,7/15/2024 9:39,NULL,8/21/2024 8:44
76,101sanchetna240715031039,338,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240715014009,32,20,Reached,Scheduling Engine,7/15/2024 9:40,NULL,8/21/2024 8:44
77,102rameshwar240715044021,350,cgs_harua,rameshwar,UP80HT5397,UP80HT5397cgs_harua240715024716,76,49,Reached,Scheduling Engine,7/15/2024 11:10,NULL,8/21/2024 8:44
78,103reliance_bp_harua240715044625,361,cgs_harua,reliance_bp_harua,UP80HT5397,UP65KT8526cgs_harua240715035525,17,9,Reached,Scheduling Engine,7/15/2024 11:16,NULL,8/21/2024 8:44
79,104suresh240715050704,349,cgs_harua,suresh,GJ18BT9112,GJ18BT9112cgs_harua240715013604,78,42,Reached,Scheduling Engine,7/15/2024 11:37,NULL,8/21/2024 8:44
80,105mirzamurad240715062203,376,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240715041732,38,27,Reached,Scheduling Engine,7/15/2024 12:52,NULL,8/21/2024 8:44
81,107sanchetna240715062527,387,upsidc,sanchetna,UP65KT8525,UP65KT8525upsidc240715044334,32,20,Reached,Scheduling Engine,7/15/2024 12:55,NULL,8/21/2024 8:44
82,106Reliance_bp240715062242,386,cgs_harua,reliance_bp,GJ18BT9472,GJ18BT9472cgs_harua240715035630,60,39,Reached,Scheduling Engine,7/15/2024 13:13,NULL,8/21/2024 8:44
83,109vishnu240715064502,393,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240715054748,28,20,Reached,Scheduling Engine,7/15/2024 13:15,NULL,8/21/2024 8:44
84,110cholapur240715071556,400,cgs_harua,cholapur,UP65LT8640,UP65LT8640cgs_harua240715055112,22,14,Reached,Scheduling Engine,7/15/2024 13:46,NULL,8/21/2024 8:44
85,111rameshwar240715080717,404,cgs_harua,rameshwar,UP80HT4944,UP80HT4944cgs_harua240715063247,76,49,Reached,Scheduling Engine,7/15/2024 14:37,NULL,8/21/2024 8:44
86,112vishnu240715080818,408,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240715070837,28,20,Reached,Scheduling Engine,7/15/2024 14:38,NULL,8/21/2024 8:44
87,113sanchetna240715081803,413,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240715065534,32,20,Reached,Scheduling Engine,7/15/2024 14:48,NULL,8/21/2024 8:44
88,114suresh240715091532,417,cgs_harua,suresh,UP65LT8638,UP65LT8638cgs_harua240715075120,78,42,Reached,Scheduling Engine,7/15/2024 15:45,NULL,8/21/2024 8:44
89,115vishnu240715091606,418,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240715080409,28,20,Reached,Scheduling Engine,7/15/2024 15:46,NULL,8/21/2024 8:44
90,116vishnu240715102319,428,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240715091527,28,20,Reached,Scheduling Engine,7/15/2024 16:53,NULL,8/21/2024 8:44
91,117cholapur240715102415,431,cgs_harua,cholapur,UP80HT5138,UP80HT5138cgs_harua240715091626,22,14,Reached,Scheduling Engine,7/15/2024 16:54,NULL,8/21/2024 8:44
92,118saurav240715111258,439,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240715104108,26,15,Reached,Scheduling Engine,7/15/2024 17:46,NULL,8/21/2024 8:44
93,119reliance_bp240715115841,443,cgs_harua,reliance_bp,UP80HT5298,UP80HT5298cgs_harua240715104158,60,39,Reached,Scheduling Engine,7/15/2024 18:28,NULL,8/21/2024 8:44
94,120rameshwar240715115926,446,cgs_harua,rameshwar,UP80HT5397,UP80HT5397cgs_harua240715110234,76,49,Reached,Scheduling Engine,7/15/2024 18:29,NULL,8/21/2024 8:44
95,121srm_energy240716120001,448,upsidc,srm_energy,UP65KT3613,UP65KT3613upsidc240715102641,67,48,Reached,Scheduling Engine,7/15/2024 18:30,NULL,8/21/2024 8:44
96,122sanchetna240716010216,458,upsidc,sanchetna,UP65KT8525,UP65KT8525upsidc240716120323,32,20,Reached,Scheduling Engine,7/15/2024 19:32,NULL,8/21/2024 8:44
97,123vishnu240716011938,461,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240716120432,28,20,Reached,Scheduling Engine,7/15/2024 19:50,NULL,8/21/2024 8:44
98,124suresh240716050343,462,cgs_harua,suresh,GJ18BT9112,GJ18BT9112cgs_harua240716010921,78,42,Reached,Scheduling Engine,7/16/2024 0:30,NULL,8/21/2024 8:44
99,125atulya240716082530,472,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240716065737,45,27,Reached,Scheduling Engine,7/16/2024 2:55,NULL,8/21/2024 8:44
100,126reliance_bp240716083356,484,cgs_harua,reliance_bp,UP65KT8526,UP65KT8526cgs_harua240716071910,60,39,Reached,Scheduling Engine,7/16/2024 3:04,NULL,8/21/2024 8:44
101,127sanchetna240716084903,495,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240716073215,32,20,Reached,Scheduling Engine,7/16/2024 3:19,NULL,8/21/2024 8:44
102,128vishnu240716090636,498,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240716083010,28,20,Reached,Scheduling Engine,7/16/2024 3:36,NULL,8/21/2024 8:44
103,129reliance_bp_harua240716090826,499,cgs_harua,reliance_bp_harua,UP80HT5298,UP80HT5298cgs_harua240716085219,17,9,Reached,Scheduling Engine,7/16/2024 3:38,NULL,8/21/2024 8:44
104,130reliance_bp240716100209,514,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240716100232,28,20,Reached,Scheduling Engine,7/16/2024 4:39,NULL,8/21/2024 8:44
106,132cholapur240716105158,518,cgs_harua,cholapur,UP65LT8640,UP65LT8640cgs_harua240716092010,22,14,Reached,Scheduling Engine,7/16/2024 5:22,NULL,8/21/2024 8:44
107,133mirzamurad240716112806,531,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240716084759,38,27,Reached,Scheduling Engine,7/16/2024 5:58,NULL,8/21/2024 8:44
108,134rameshwar240716112958,533,cgs_harua,rameshwar,UP80HT4944,UP80HT4944cgs_harua240716101105,76,49,Reached,Scheduling Engine,7/16/2024 6:00,NULL,8/21/2024 8:44
109,135sanchetna240716123053,552,upsidc,sanchetna,UP65KT8525,UP65KT8525upsidc240716111118,32,20,Reached,Scheduling Engine,7/16/2024 7:00,NULL,8/21/2024 8:44
110,136Saurav240716123240,549,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240716114137,26,15,Reached,Scheduling Engine,7/16/2024 7:21,NULL,8/21/2024 8:44
111,137suresh240716125311,551,cgs_harua,suresh,UP65LT8638,UP65LT8638cgs_harua240716114809,78,42,Reached,Scheduling Engine,7/16/2024 7:23,NULL,8/21/2024 8:44
112,138vishnu240716015213,558,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240716122720,28,20,Reached,Scheduling Engine,7/16/2024 8:22,NULL,8/21/2024 8:44
113,139srm_energy240716015349,562,upsidc,lala_auto,UP80HT4943,UP80HT4943upsidc240716123655,50,37,Reached,Scheduling Engine,7/16/2024 8:23,NULL,8/21/2024 8:44
114,140reliance_bp240716023855,569,cgs_harua,cholapur,UP80HT5138,UP80HT5138cgs_harua240716125942,22,14,Reached,Scheduling Engine,7/16/2024 9:14,NULL,8/21/2024 8:44
115,141cholapur240716024433,571,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240716014837,28,20,Reached,Scheduling Engine,7/16/2024 9:14,NULL,8/21/2024 8:44
116,142rameshwar240716035321,586,cgs_harua,rameshwar,UP80HT5397,UP80HT5397cgs_harua240716023755,76,49,Reached,Scheduling Engine,7/16/2024 10:23,NULL,8/21/2024 8:44
117,143atulya240716035436,587,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240716023907,45,27,Reached,Scheduling Engine,7/16/2024 10:24,NULL,8/21/2024 8:44
118,145sanchetna240716035514,588,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240716024223,32,20,Reached,Scheduling Engine,7/16/2024 10:25,NULL,8/21/2024 8:44
120,147vishnu240716055939,600,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240716040136,28,20,Reached,Scheduling Engine,7/16/2024 12:29,NULL,8/21/2024 8:44
121,148vishnu240716064455,614,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240716053338,28,20,Reached,Scheduling Engine,7/16/2024 13:15,NULL,8/21/2024 8:44
122,149sanchetna240716064633,623,upsidc,srm_energy,UP65KT8525,UP65KT8525upsidc240716064545,67,48,Reached,Scheduling Engine,7/16/2024 13:16,NULL,8/21/2024 8:44
123,150sanchetna240716075536,604,upsidc,sanchetna,GJ18BT9140,GJ18BT9140khirkiya_ghat240716041016,32,20,Reached,Scheduling Engine,7/16/2024 14:25,NULL,8/21/2024 8:44
124,151reliance_bp240716075757,642,cgs_harua,reliance_bp,GJ18BT9472,GJ18BT9472cgs_harua240716073906,60,39,Reached,Scheduling Engine,7/16/2024 14:28,NULL,8/21/2024 8:44
125,152cholapur240716084658,646,cgs_harua,cholapur,UP65LT8640,UP65LT8640cgs_harua240716063646,22,14,Reached,Scheduling Engine,7/16/2024 15:17,NULL,8/21/2024 8:44
126,153suresh240716084754,649,cgs_harua,suresh,GJ18BT9112,GJ18BT9112cgs_harua240716063744,78,42,Reached,Scheduling Engine,7/16/2024 15:17,NULL,8/21/2024 8:44
127,154vishnu240716093812,654,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240716081907,28,20,Reached,Scheduling Engine,7/16/2024 16:09,NULL,8/21/2024 8:44
128,155reliance_bp_harua240716093918,655,cgs_harua,reliance_bp_harua,UP65KT8526,UP65KT8526cgs_harua240716072210,17,9,Reached,Scheduling Engine,7/16/2024 16:09,NULL,8/21/2024 8:44
129,156mirzamurad240716102027,669,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240716092752,38,27,Reached,Scheduling Engine,7/16/2024 16:50,NULL,8/21/2024 8:44
130,157reliance_bp240716104710,676,cgs_harua,reliance_bp,UP80HT5298,UP80HT5298cgs_harua240716102234,60,39,Reached,Scheduling Engine,7/16/2024 17:17,NULL,8/21/2024 8:44
131,158sanchetna240716104732,677,upsidc,sanchetna,UP80HT5145,UP80HT5145upsidc240716095747,32,20,Reached,Scheduling Engine,7/16/2024 17:17,NULL,8/21/2024 8:44
132,159vishnu240716112200,683,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240716102152,28,20,Reached,Scheduling Engine,7/16/2024 17:52,NULL,8/21/2024 8:44
133,160rameshwar240716112259,684,cgs_harua,rameshwar,UP80HT4944,UP80HT4944cgs_harua240716102123,76,49,Reached,Scheduling Engine,7/16/2024 17:53,NULL,8/21/2024 8:44
134,161cholapur240717122815,688,cgs_harua,cholapur,UP80HT5138,UP80HT5138cgs_harua240716112119,22,14,Reached,Scheduling Engine,7/16/2024 18:58,NULL,8/21/2024 8:44
135,162vishnu240717122944,691,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240717121914,28,20,Reached,Scheduling Engine,7/16/2024 18:59,NULL,8/21/2024 8:44
136,164suresh240717035953,696,cgs_harua,suresh,UP65LT8638,UP65LT8638cgs_harua240717122050,78,42,Reached,Scheduling Engine,7/16/2024 22:30,NULL,8/21/2024 8:44
137,163srm_energy240717123017,680,upsidc,srm_energy,UP65KT3613,UP65KT3613upsidc240716100125,67,48,Reached,Scheduling Engine,7/16/2024 22:30,NULL,8/21/2024 8:44
138,165saurav240717040124,697,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240717122211,26,15,Reached,Scheduling Engine,7/16/2024 22:31,NULL,8/21/2024 8:44
139,166atulya240717074040,705,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240717073151,45,27,Reached,Scheduling Engine,7/17/2024 2:10,NULL,8/21/2024 8:44
140,167vishnu240717083436,715,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240717083329,28,20,Reached,Scheduling Engine,7/17/2024 3:04,NULL,8/21/2024 8:44
141,168vishnu240717083557,716,cgs_harua,rameshwar,UP80HT5397,UP80HT5397cgs_harua240717083354,76,49,Reached,Scheduling Engine,7/17/2024 3:06,NULL,8/21/2024 8:44
142,169vishnu240717084013,720,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240717083518,28,20,Reached,Scheduling Engine,7/17/2024 3:10,NULL,8/21/2024 8:44
143,170vishnu240717113741,741,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240717102246,28,20,Reached,Scheduling Engine,7/17/2024 6:07,NULL,8/21/2024 8:44
144,171srm_energy240717114240,758,upsidc,srm_energy,UP65KT3613,UP65KT3613upsidc240716100125,67,48,Reached,Scheduling Engine,7/17/2024 6:12,NULL,8/21/2024 8:44
145,172saurav240717123509,760,cgs_harua,saurav,UP80HT5137,UP80HT5137cgs_harua240717113722,26,15,Reached,Scheduling Engine,7/17/2024 7:05,NULL,8/21/2024 8:44
146,173mirzamurad240717123622,763,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240717112111,38,27,Reached,Scheduling Engine,7/17/2024 7:06,NULL,8/21/2024 8:44
147,174reliance_bp_harua240717012410,777,upsidc,reliance_bp_harua,GJ18BT9140,GJ18BT9140upsidc240717112429,30,21,Reached,Scheduling Engine,7/17/2024 8:03,NULL,8/21/2024 8:44
148,175cholapur240717013718,780,cgs_harua,cholapur,UP65LT8640,UP65LT8640cgs_harua240717120322,22,14,Reached,Scheduling Engine,7/17/2024 8:07,NULL,8/21/2024 8:44
149,176suresh240717024702,784,cgs_harua,suresh,GJ18BT9112,GJ18BT9112cgs_harua240717122914,78,42,Reached,Scheduling Engine,7/17/2024 9:17,NULL,8/21/2024 8:44
150,177atulya240717030933,798,cgs_harua,reliance_bp,GJ18BT9472,GJ18BT9472cgs_harua240717022635,60,39,Reached,Scheduling Engine,7/17/2024 9:39,NULL,8/21/2024 8:44
151,178atulya240717031343,799,cgs_harua,atulya,UP65KT8526,UP65KT8526cgs_harua240717030830,45,27,Reached,Scheduling Engine,7/17/2024 9:43,NULL,8/21/2024 8:44
152,179vishnu240717035604,809,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240717035349,28,20,Reached,Scheduling Engine,7/17/2024 10:26,NULL,8/21/2024 8:44
153,180lala_auto240717041919,821,upsidc,lala_auto,UP65KT8525,UP65KT8525upsidc240717030829,50,37,Reached,Scheduling Engine,7/17/2024 10:50,NULL,8/21/2024 8:44
154,181rameshwar240717050244,830,cgs_harua,rameshwar,UP80HT4944,UP80HT4944cgs_harua240717040200,76,49,Reached,Scheduling Engine,7/17/2024 11:32,NULL,8/21/2024 8:44
155,182atulya240717050311,831,cgs_harua,atulya,UP80JT1056,UP80JT1056cgs_harua240717043648,45,27,Reached,Scheduling Engine,7/17/2024 11:33,NULL,8/21/2024 8:44
156,183reliance_bp_harua240717054819,840,upsidc,reliance_bp_harua,UP80HT5145,UP80HT5145upsidc240717042343,30,21,Reached,Scheduling Engine,7/17/2024 12:18,NULL,8/21/2024 8:44
157,184cholapur240717061444,843,cgs_harua,cholapur,UP80HT5138,UP80HT5138cgs_harua240717050014,22,14,Reached,Scheduling Engine,7/17/2024 12:44,NULL,8/21/2024 8:44
158,186vishnu240717061539,847,cgs_harua,vishnu,UP80HT5144,UP80HT5144cgs_harua240717045753,28,20,Reached,Scheduling Engine,7/17/2024 12:45,NULL,8/21/2024 8:44
159,187srm_energy240717064543,851,upsidc,srm_energy,UP80HT4943,UP80HT4943upsidc240717054009,67,48,Reached,Scheduling Engine,7/17/2024 13:25,NULL,8/21/2024 8:44
160,188suresh240717074453,855,cgs_harua,suresh,UP65LT8638,UP65LT8638cgs_harua240717040951,78,42,Reached,Scheduling Engine,7/17/2024 14:15,NULL,8/21/2024 8:44
161,189vishnu240717084430,860,cgs_harua,vishnu,UP80HT5139,UP80HT5139cgs_harua240717072812,28,20,Reached,Scheduling Engine,7/17/2024 15:14,NULL,8/21/2024 8:44
162,190vishnu240717095141,870,cgs_harua,vishnu,UP65LT8639,UP65LT8639cgs_harua240717083344,28,20,Reached,Scheduling Engine,7/17/2024 16:21,NULL,8/21/2024 8:44
163,191cholapur240717103219,873,cgs_harua,cholapur,UP65LT8640,UP65LT8640cgs_harua240717092008,22,14,Reached,Scheduling Engine,7/17/2024 17:02,NULL,8/21/2024 8:44
164,192mirzamurad240717105435,874,cgs_harua,mirzamurad,UP80HT5299,UP80HT5299cgs_harua240717093955,38,27,Reached,Scheduling Engine,7/17/2024 17:24,NULL,8/21/2024 8:44
165,193saurav240718123645,890,cgs_harua,vishnu,UP65LT2768,UP65LT2768cgs_harua240718122940,28,20,Reached,Scheduling Engine,7/17/2024 19:06,NULL,8/21/2024 8:44
